areaFIPS,areaname,areashort,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled,atleast1immigparent_pct,allnativebornparents_pct,lowincome_pct,notlowincome_pct,notenrolled_pct,enrolled_pct
1,Alabama,AL,185000,16000,166000,99000,84000,84000,101000,0.086830735,0.913169265,0.541479707,0.458520293,0.454317629,0.545682371
2,Alaska,AK,32000,3000,29000,12000,20000,15000,17000,0.110163391,0.889836609,0.370984614,0.629015386,0.475021631,0.524978399
4,Arizona,AZ,270000,73000,190000,141000,123000,134000,136000,0.280422568,0.719577432,0.532847285,0.467152685,0.495675921,0.504324079
5,Arkansas,AR,120000,14000,104000,67000,50000,49000,71000,0.11781019,0.88218981,0.571285188,0.428714812,0.406747162,0.593252838
6,California,CA,1552000,732000,787000,724000,806000,590000,961000,0.490013659,0.509986341,0.473237097,0.526762903,0.380467981,0.619531989
8,Colorado,CO,207000,45000,159000,84000,120000,77000,130000,0.222437382,0.777562618,0.410979509,0.589020491,0.372786433,0.627213597
9,Connecticut,CT,123000,31000,89000,40000,81000,32000,91000,0.260057509,0.739942491,0.329530835,0.670469165,0.260841876,0.739158154
10,Delaware,DE,34000,7000,27000,14000,20000,14000,20000,0.209479749,0.790520251,0.410805047,0.589194953,0.409452468,0.590547562
11,District of Columbia,DC,23000,6000,16000,10000,12000,4000,19000,0.272146165,0.727853835,0.459458232,0.540541768,0.16609408,0.833905935
12,Florida,FL,672000,211000,448000,345000,317000,247000,425000,0.322764993,0.677235007,0.521467805,0.478532165,0.368101031,0.631898999
13,Georgia,GA,424000,90000,325000,220000,198000,156000,268000,0.218827844,0.781172156,0.526471198,0.473528802,0.367881089,0.63211894
15,Hawaii,HI,54000,15000,37000,18000,35000,21000,33000,0.295701802,0.704298198,0.342557967,0.657442033,0.392812192,0.607187808
16,Idaho,ID,73000,10000,62000,38000,34000,40000,33000,0.137985349,0.862014651,0.523482919,0.476517081,0.544320464,0.455679536
17,Illinois,IL,502000,139000,354000,212000,284000,177000,325000,0.286027133,0.713972867,0.427149057,0.572850943,0.352124095,0.647875905
18,Indiana,IN,261000,28000,229000,125000,130000,123000,139000,0.108367383,0.891632617,0.490150094,0.509849906,0.469337225,0.530662775
19,Iowa,IA,122000,15000,106000,48000,72000,47000,75000,0.121495247,0.878504753,0.401821136,0.598178864,0.383126795,0.616873205
20,Kansas,KS,125000,18000,105000,56000,68000,51000,74000,0.150291443,0.849708557,0.455022752,0.544977248,0.408862114,0.591137886
21,Kentucky,KY,175000,14000,157000,88000,83000,78000,96000,0.083579123,0.916420877,0.512195945,0.487804025,0.447499484,0.552500486
22,Louisiana,LA,194000,14000,176000,99000,93000,70000,124000,0.076075673,0.923924327,0.515746236,0.484253734,0.362544626,0.637455344
23,Maine,ME,42000,3000,38000,18000,23000,18000,23000,0.069621027,0.930378973,0.433747172,0.566252828,0.43548581,0.56451416
24,Maryland,MD,229000,64000,161000,74000,152000,87000,142000,0.284274161,0.715725839,0.329436183,0.670563817,0.380789608,0.619210362
25,Massachusetts,MA,226000,69000,154000,71000,153000,71000,155000,0.310755372,0.689244628,0.316005826,0.683994174,0.315812498,0.684187531
26,Michigan,MI,354000,45000,303000,165000,182000,138000,216000,0.129020214,0.870979786,0.475806952,0.524193048,0.389212757,0.610787272
27,Minnesota,MN,213000,42000,169000,73000,137000,89000,124000,0.199741423,0.800258577,0.346672714,0.653327286,0.416581392,0.583418608
28,Mississippi,MS,127000,5000,120000,76000,49000,47000,80000,0.042313576,0.957686424,0.607099473,0.392900527,0.372406989,0.62759304
29,Missouri,MO,232000,19000,208000,106000,121000,100000,131000,0.082836807,0.917163193,0.467145979,0.532854021,0.432864487,0.567135513
30,Montana,MT,39000,0,38000,19000,20000,19000,21000,0,0.964996636,0.489385366,0.510614634,0.470619589,0.529380441
31,Nebraska,NE,78000,12000,64000,33000,44000,33000,45000,0.156092823,0.843907177,0.424544036,0.575455964,0.423545301,0.576454699
32,Nevada,NV,115000,40000,73000,58000,56000,60000,55000,0.361317217,0.638682783,0.509348273,0.490651727,0.521412075,0.478587925
33,New Hampshire,NH,42000,5000,37000,12000,30000,16000,27000,0.122062147,0.877937853,0.290211141,0.709788859,0.370901644,0.629098356
34,New Jersey,NJ,333000,126000,202000,112000,217000,90000,243000,0.387028515,0.612971485,0.34111762,0.65888238,0.269787133,0.730212867
35,New Mexico,NM,86000,17000,67000,49000,36000,39000,46000,0.203724444,0.796275556,0.575780034,0.424219966,0.457454264,0.542545736
36,New York,NY,713000,259000,437000,310000,391000,222000,490000,0.374633193,0.625366807,0.442054451,0.557945549,0.311894923,0.688105106
37,North Carolina,NC,380000,75000,300000,199000,176000,166000,214000,0.200372577,0.799627423,0.530681372,0.469318658,0.436172068,0.563827932
38,North Dakota,ND,29000,0,27000,8000,20000,14000,15000,0,0.943914652,0.290837944,0.709162056,0.487800628,0.512199402
39,Ohio,OH,436000,36000,394000,207000,220000,184000,252000,0.08434397,0.91565603,0.484568357,0.515431643,0.421918005,0.578081965
40,Oklahoma,OK,163000,22000,138000,85000,74000,67000,96000,0.138632298,0.861367702,0.534987926,0.465012103,0.411091715,0.588908315
41,Oregon,OR,143000,32000,109000,66000,75000,66000,77000,0.225301087,0.774698913,0.470888853,0.529111147,0.462306201,0.537693799
42,Pennsylvania,PA,439000,53000,380000,183000,250000,184000,255000,0.123529792,0.876470208,0.422175705,0.577824295,0.41927442,0.580725551
44,Rhode Island,RI,35000,8000,26000,14000,21000,14000,20000,0.239787698,0.760212302,0.399312377,0.600687623,0.416661859,0.583338141
45,South Carolina,SC,186000,21000,162000,101000,82000,79000,107000,0.114241242,0.885758758,0.552901506,0.447098523,0.423216164,0.576783836
46,South Dakota,SD,37000,0,33000,15000,21000,17000,20000,0,0.935736299,0.418620944,0.581379056,0.461265117,0.538734913
