areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
1,Alabama,Citizenship,US citizen,0.996340871,0.958834052,0.999807,0.995679855,0.997024953,0.996306539,0.996369421
1,Alabama,Citizenship,Non-US citizen,0.003659137,0.04116594,0.000193002,0.004320157,0.002975052,0.003693466,0.003630556
2,Alaska,Citizenship,US citizen,0.998361588,0.990196049,0.999334216,0.99795258,0.998540878,0.998763502,0.99799788
2,Alaska,Citizenship,Non-US citizen,0.001638432,0.009803922,0.000665756,0.002047432,0.001459119,0.001236496,0.00200212
4,Arizona,Citizenship,US citizen,0.986575305,0.956577301,0.998338342,0.984925508,0.98835063,0.989787519,0.983418167
4,Arizona,Citizenship,Non-US citizen,0.01342471,0.043422699,0.001661645,0.015074519,0.011649399,0.010212479,0.016581858
5,Arkansas,Citizenship,US citizen,0.989452362,0.90874666,0.999884427,0.990189075,0.987977862,0.983498037,0.993534803
5,Arkansas,Citizenship,Non-US citizen,0.010547644,0.09125337,0.000115591,0.009810927,0.01202214,0.016501989,0.006465214
6,California,Citizenship,US citizen,0.979537487,0.960019529,0.998972356,0.979264915,0.980027676,0.979575157,0.97951436
6,California,Citizenship,Non-US citizen,0.020462496,0.039980445,0.001027668,0.020735072,0.019972347,0.020424826,0.02048563
8,Colorado,Citizenship,US citizen,0.985231638,0.94203347,0.997628689,0.982119083,0.988171339,0.986893892,0.984243691
8,Colorado,Citizenship,Non-US citizen,0.01476836,0.057966508,0.002371338,0.017880937,0.011828671,0.013106092,0.015756335
9,Connecticut,Citizenship,US citizen,0.978585541,0.922128141,0.998120487,0.979689837,0.977822602,0.978818595,0.978503287
9,Connecticut,Citizenship,Non-US citizen,0.021414464,0.077871867,0.001879489,0.020310154,0.022177419,0.021181403,0.021496709
10,Delaware,Citizenship,US citizen,0.994077682,0.971312046,1,0.996690631,0.992074668,0.993689716,0.994346678
10,Delaware,Citizenship,Non-US citizen,0.005922313,0.028687948,0,0.003309353,0.007925361,0.006310266,0.005653328
11,District of Columbia,Citizenship,US citizen,0.965204358,0.885723829,0.996387422,0.976359546,0.954767227,0.983293533,0.961601436
11,District of Columbia,Citizenship,Non-US citizen,0.034795631,0.114276193,0.003612582,0.023640431,0.04523278,0.016706444,0.038398564
12,Florida,Citizenship,US citizen,0.981006324,0.943195105,0.999609351,0.97799623,0.984777927,0.981813014,0.980536401
12,Florida,Citizenship,Non-US citizen,0.018993678,0.056804873,0.000390649,0.022003787,0.015222054,0.01818696,0.019463615
13,Georgia,Citizenship,US citizen,0.986498892,0.940130353,0.999344587,0.986204386,0.986938953,0.986110866,0.986724675
13,Georgia,Citizenship,Non-US citizen,0.013501134,0.059869636,0.000655385,0.013795609,0.013061039,0.013889156,0.013275311
15,Hawaii,Citizenship,US citizen,0.983547986,0.955100954,0.99905169,0.975687385,0.987246215,0.982662797,0.984120667
15,Hawaii,Citizenship,Non-US citizen,0.016451996,0.044899028,0.00094833,0.024312606,0.012753789,0.017337227,0.015879305
16,Idaho,Citizenship,US citizen,0.99252063,0.951603055,0.999159515,0.992665231,0.992146671,0.995789528,0.988615811
16,Idaho,Citizenship,Non-US citizen,0.00747938,0.048396915,0.000840486,0.007334768,0.007853326,0.004210473,0.011384171
