areaFIPS,areaname,areaname2,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
10100,Aberdeen, SD,Number of parents present,One parent,0.153102174,0,0.155442864,0.28221792,0.068938971,0.099322245,0.202334926
10100,Aberdeen, SD,Number of parents present,Two parents,0.84689784,0,0.844557106,0.71778208,0.931061029,0.900677741,0.79766506
10140,Aberdeen, WA,Number of parents present,One parent,0.289418489,0,0.267114669,0.349170566,0.183724105,0,0.337050647
10140,Aberdeen, WA,Number of parents present,Two parents,0.710581481,0,0.732885361,0.650829434,0.816275895,0,0.662949324
10180,Abilene, TX,Number of parents present,One parent,0.324713737,0,0.361400694,0.453393787,0.150244668,0.321546853,0.327291101
10180,Abilene, TX,Number of parents present,Two parents,0.675286233,0,0.638599336,0.546606183,0.849755347,0.678453147,0.672708869
10220,Ada, OK,Number of parents present,One parent,0.323054612,0,0.313452005,0.451187074,0.133272499,0.244169056,0.367204249
10220,Ada, OK,Number of parents present,Two parents,0.676945388,0,0.686547995,0.548812926,0.866727531,0.755830944,0.632795751
10300,Adrian, MI,Number of parents present,One parent,0.275339514,0,0.277373731,0.33689642,0.170326993,0.253493011,0.296583861
10300,Adrian, MI,Number of parents present,Two parents,0.724660516,0,0.722626269,0.66310358,0.829672992,0.746506989,0.703416169
10420,Akron, OH,Number of parents present,One parent,0.31833896,0,0.337106913,0.524404049,0.113854788,0.302221924,0.329045147
10420,Akron, OH,Number of parents present,Two parents,0.68166101,0,0.662893116,0.475595981,0.886145234,0.697778106,0.670954823
10460,Alamogordo, NM,Number of parents present,One parent,0.31326893,0,0.342434525,0.405595869,0.175981045,0.332328647,0.299978465
10460,Alamogordo, NM,Number of parents present,Two parents,0.68673104,0,0.657565475,0.594404101,0.824018955,0.667671382,0.700021505
10500,Albany, GA,Number of parents present,One parent,0.479235977,0,0.498717278,0.614864111,0.182669714,0.425779581,0.499955058
10500,Albany, GA,Number of parents present,Two parents,0.520764053,0,0.501282692,0.385135919,0.817330301,0.574220419,0.500044942
10540,Albany, OR,Number of parents present,One parent,0.25744918,0,0.276831478,0.357755035,0.128666863,0.277144402,0.236706689
10540,Albany, OR,Number of parents present,Two parents,0.74255085,0,0.723168492,0.642244935,0.871333122,0.722855568,0.763293326
10580,Albany-Schenectady-Troy, NY,Number of parents present,One parent,0.269132465,0.107186124,0.294576466,0.472699702,0.155394167,0.320158839,0.242109731
10580,Albany-Schenectady-Troy, NY,Number of parents present,Two parents,0.730867505,0.892813861,0.705423534,0.527300298,0.844605803,0.679841161,0.757890284
10660,Albert Lea, MN,Number of parents present,One parent,0.21893613,0,0.170591176,0.341281682,0.115672976,0.262013137,0.189488247
10660,Albert Lea, MN,Number of parents present,Two parents,0.781063855,0,0.829408824,0.658718348,0.884327054,0.737986863,0.810511768
10700,Albertville, AL,Number of parents present,One parent,0.277342975,0,0.271776855,0.384979546,0.09933278,0.370959699,0.182559937
10700,Albertville, AL,Number of parents present,Two parents,0.722657025,0,0.728223145,0.615020454,0.900667191,0.629040301,0.817440033
10740,Albuquerque, NM,Number of parents present,One parent,0.293537647,0.125062153,0.332778007,0.394522548,0.169460788,0.283888489,0.301487386
10740,Albuquerque, NM,Number of parents present,Two parents,0.706462324,0.874937832,0.667222023,0.605477452,0.830539227,0.716111481,0.698512614
10780,Alexandria, LA,Number of parents present,One parent,0.383164823,0,0.39498955,0.55016917,0.21233137,0.354965776,0.3994793
10780,Alexandria, LA,Number of parents present,Two parents,0.616835177,0,0.60501045,0.44983083,0.787668645,0.645034194,0.60052073
10820,Alexandria, MN,Number of parents present,One parent,0.202229112,0,0.205103591,0.30845499,0.106627107,0.209660605,0.19679065
10820,Alexandria, MN,Number of parents present,Two parents,0.797770917,0,0.794896424,0.69154501,0.893372893,0.79033941,0.803209364
10900,Allentown-Bethlehem-Easton, PA-NJ,Number of parents present,One parent,0.2696639,0.07932312,0.301461339,0.483404338,0.130299628,0.342006564,0.2149584
10900,Allentown-Bethlehem-Easton, PA-NJ,Number of parents present,Two parents,0.73033613,0.920676887,0.698538661,0.516595662,0.869700372,0.657993436,0.78504163
10940,Alma, MI,Number of parents present,One parent,0.339443475,0,0.340809256,0.451224744,0.171671674,0.369517058,0.309555262
10940,Alma, MI,Number of parents present,Two parents,0.660556555,0,0.659190774,0.548775256,0.828328311,0.630482972,0.690444767
10980,Alpena, MI,Number of parents present,One parent,0.247847155,0,0.245657563,0.329127818,0.120313376,0.177496985,0.304771185
10980,Alpena, MI,Number of parents present,Two parents,0.75215286,0,0.754342437,0.670872211,0.879686654,0.82250303,0.695228815
11020,Altoona, PA,Number of parents present,One parent,0.276544124,0,0.280198455,0.409231663,0.111381255,0.283441901,0.271354079
11020,Altoona, PA,Number of parents present,Two parents,0.723455846,0,0.719801545,0.590768337,0.888618767,0.716558099,0.728645921
11100,Amarillo, TX,Number of parents present,One parent,0.283836216,0.173608735,0.300008297,0.417324096,0.124166757,0.290325403,0.278727472
11100,Amarillo, TX,Number of parents present,Two parents,0.716163754,0.82639128,0.699991703,0.582675874,0.875833213,0.709674597,0.721272528
11140,Americus, GA,Number of parents present,One parent,0.466591269,0,0.46971947,0.646231771,0.063665301,0.486451477,0.456449568
11140,Americus, GA,Number of parents present,Two parents,0.533408761,0,0.53028053,0.353768259,0.93633467,0.513548493,0.543550432
11220,Amsterdam, NY,Number of parents present,One parent,0.317067176,0,0.322629571,0.40684104,0.146484375,0.230812013,0.385087729
11220,Amsterdam, NY,Number of parents present,Two parents,0.682932794,0,0.677370429,0.59315896,0.853515625,0.769187987,0.614912271
11260,Anchorage, AK,Number of parents present,One parent,0.202177972,0,0.193491399,0.359430552,0.11169225,0.193116263,0.211868763
11260,Anchorage, AK,Number of parents present,Two parents,0.797821999,0,0.806508601,0.640569448,0.88830775,0.806883752,0.788131237
11380,Andrews, TX,Number of parents present,One parent,0.229215682,0,0.305126607,0.306266546,0.137161672,0.200071707,0.264387697
11380,Andrews, TX,Number of parents present,Two parents,0.770784318,0,0.694873393,0.693733454,0.862838328,0.799928308,0.735612273
11420,Angola, IN,Number of parents present,One parent,0.196929514,0,0.208364457,0.265235633,0.080955543,0.129828855,0.286178857
11420,Angola, IN,Number of parents present,Two parents,0.803070486,0,0.791635573,0.734764397,0.919044435,0.87017113,0.713821113
11460,Ann Arbor, MI,Number of parents present,One parent,0.209915981,0.094933793,0.226870015,0.493726492,0.064647421,0.208823308,0.210492551
11460,Ann Arbor, MI,Number of parents present,Two parents,0.790084004,0.905066192,0.77313,0.506273508,0.935352564,0.791176677,0.789507449
11500,Anniston-Oxford-Jacksonville, AL,Number of parents present,One parent,0.487691581,0,0.515243113,0.634248674,0,0.523781896,0.463594109
11500,Anniston-Oxford-Jacksonville, AL,Number of parents present,Two parents,0.512308419,0,0.484756857,0.365751326,0,0.476218104,0.536405861
