areaFIPS,areaname,areaname2,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
10100,Aberdeen, SD,Parental employment,All parents are working full time,0.448933214,0,0.446183562,0.257553399,0.573031306,0.46611011,0.433208615
10100,Aberdeen, SD,Parental employment,All parents are working; at least one is not working full time,0.403961807,0,0.404980302,0.477282137,0.349114776,0.388555616,0.418065369
10100,Aberdeen, SD,Parental employment,At least one parent is not working,0.147104993,0,0.148836151,0.265164465,0.077853918,0.145334259,0.148726016
10100,Aberdeen, SD,Parental employment,All parents are working,0,0,0,0,0,0,0
10140,Aberdeen, WA,Parental employment,All parents are working full time,0.2668989,0,0.272895992,0.184012383,0.387441963,0,0.305170029
10140,Aberdeen, WA,Parental employment,All parents are working; at least one is not working full time,0.359143466,0,0.360821545,0.356379122,0.360971749,0,0.399050564
10140,Aberdeen, WA,Parental employment,At least one parent is not working,0.373957634,0,0.366282493,0.459608495,0.251586288,0,0.295779407
10140,Aberdeen, WA,Parental employment,All parents are working,0,0,0,0,0,0,0
10180,Abilene, TX,Parental employment,All parents are working full time,0.346547961,0,0.362181515,0.225282848,0.484360814,0.349533796,0.344117969
10180,Abilene, TX,Parental employment,All parents are working; at least one is not working full time,0.302186459,0,0.30925253,0.350614995,0.239732385,0.279181331,0.320908964
10180,Abilene, TX,Parental employment,At least one parent is not working,0.351265609,0,0.328565955,0.424102157,0.275906801,0.371284872,0.334973067
10180,Abilene, TX,Parental employment,All parents are working,0,0,0,0,0,0,0
10220,Ada, OK,Parental employment,All parents are working full time,0.370127857,0,0.374640822,0.278454244,0.500318348,0.249131486,0.437845558
10220,Ada, OK,Parental employment,All parents are working; at least one is not working full time,0.248420835,0,0.245290458,0.21649009,0.275509328,0.257579893,0.243294805
10220,Ada, OK,Parental employment,At least one parent is not working,0.381451309,0,0.380068719,0.505055666,0.224172309,0.493288606,0.318859637
10220,Ada, OK,Parental employment,All parents are working,0,0,0,0,0,0,0
10300,Adrian, MI,Parental employment,All parents are working full time,0.239519775,0,0.24222222,0.144858092,0.36554417,0.204391211,0.273680121
10300,Adrian, MI,Parental employment,All parents are working; at least one is not working full time,0.351505607,0,0.352727264,0.343899727,0.386530012,0.361676633,0.341614902
10300,Adrian, MI,Parental employment,At least one parent is not working,0.408974618,0,0.405050516,0.511242151,0.247925818,0.433932126,0.384704977
10300,Adrian, MI,Parental employment,All parents are working,0,0,0,0,0,0,0
10420,Akron, OH,Parental employment,All parents are working full time,0.311743319,0,0.310491115,0.169489071,0.442717701,0.290855795,0.325618476
10420,Akron, OH,Parental employment,All parents are working; at least one is not working full time,0.349602073,0,0.365484178,0.358541638,0.345984817,0.333306104,0.360427141
10420,Akron, OH,Parental employment,At least one parent is not working,0.338654578,0,0.324024707,0.471969277,0.211297482,0.375838101,0.313954413
10420,Akron, OH,Parental employment,All parents are working,0,0,0,0,0,0,0
