areaFIPS,areaname,areaname2,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
10100,Aberdeen, SD,Parental nativity,Only immigrant parents,0.013666822,0,0,0,0,0,0
10100,Aberdeen, SD,Parental nativity,One immigrant and one native-born parent,0.011563241,0,0,0,0,0,0
10100,Aberdeen, SD,Parental nativity,Only native-born parents,0.97476995,0,1,0.976390958,0.973353744,0.984408796,0.966121376
10100,Aberdeen, SD,Parental nativity,At least one immigrant parent,0,0,0,0.023609042,0.026646256,0.015591204,0.033878624
10140,Aberdeen, WA,Parental nativity,Only immigrant parents,0.116940349,0,0,0.16594249,0,0,0.070203312
10140,Aberdeen, WA,Parental nativity,One immigrant and one native-born parent,0.024463013,0,0,0.028341591,0,0,0.029227972
10140,Aberdeen, WA,Parental nativity,Only native-born parents,0.858596623,0,1,0.805715919,0.92264992,0,0.900568724
10140,Aberdeen, WA,Parental nativity,At least one immigrant parent,0,0,0,0,0.07735008,0,0
10180,Abilene, TX,Parental nativity,Only immigrant parents,0.052469686,0,0,0.093298145,0.003189683,0.059335787,0.046885263
10180,Abilene, TX,Parental nativity,One immigrant and one native-born parent,0.06807185,0,0,0.064365827,0.07551825,0.058929,0.075508028
10180,Abilene, TX,Parental nativity,Only native-born parents,0.879458487,0,1,0.842336059,0.921292067,0.881735206,0.87760669
10180,Abilene, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10220,Ada, OK,Parental nativity,Only immigrant parents,0.047632061,0,0,0.069423854,0.013427138,0.029266661,0.057856441
10220,Ada, OK,Parental nativity,One immigrant and one native-born parent,0.020821797,0,0,0.015986398,0.028030436,0.019197106,0.021726295
10220,Ada, OK,Parental nativity,Only native-born parents,0.931546152,0,1,0.914589763,0.958542407,0.951536238,0.920417249
10220,Ada, OK,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10300,Adrian, MI,Parental nativity,Only immigrant parents,0.019972315,0,0,0.03464799,0,0,0.031739812
10300,Adrian, MI,Parental nativity,One immigrant and one native-born parent,0.00118649,0,0,0.002211571,0,0,0
10300,Adrian, MI,Parental nativity,Only native-born parents,0.978841186,0,1,0.963140428,0.996543229,0.989620745,0.968260169
10300,Adrian, MI,Parental nativity,At least one immigrant parent,0,0,0,0,0.003456771,0.010379255,0
10420,Akron, OH,Parental nativity,Only immigrant parents,0.059356961,0,0,0.063980974,0.056938812,0.048562687,0.066472873
10420,Akron, OH,Parental nativity,One immigrant and one native-born parent,0.020687291,0,0,0.004607376,0.036096968,0.009176389,0.028275626
10420,Akron, OH,Parental nativity,Only native-born parents,0.91995573,0,1,0.931411624,0.906964242,0.942260921,0.905251503
10420,Akron, OH,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10460,Alamogordo, NM,Parental nativity,Only immigrant parents,0.118857391,0,0,0.13771534,0.090565033,0.046369519,0.169148386
10460,Alamogordo, NM,Parental nativity,One immigrant and one native-born parent,0.043886106,0,0,0.039713588,0.050146092,0.030222425,0.053365763
10460,Alamogordo, NM,Parental nativity,Only native-born parents,0.837256491,0,1,0.822571099,0.859288871,0.923408031,0.777485847
10460,Alamogordo, NM,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10500,Albany, GA,Parental nativity,Only immigrant parents,0.046021756,0,0,0.047015961,0.047560968,0.026990689,0.053566884
10500,Albany, GA,Parental nativity,One immigrant and one native-born parent,0.017489631,0,0,0.023787696,0.007195354,0.04585832,0.006242475
10500,Albany, GA,Parental nativity,Only native-born parents,0.936488628,0,1,0.929196358,0.945243657,0.927150965,0.940190613
10500,Albany, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10540,Albany, OR,Parental nativity,Only immigrant parents,0.097913094,0,0,0.161126763,0.033995185,0.100577079,0.095025323
10540,Albany, OR,Parental nativity,One immigrant and one native-born parent,0.03773585,0,0,0.022535205,0.055354994,0.043968122,0.030980041
10540,Albany, OR,Parental nativity,Only native-born parents,0.864351034,0,1,0.816338003,0.910649836,0.855454803,0.873994648
10540,Albany, OR,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Parental nativity,Only immigrant parents,0.100430168,0.688318074,0,0.119757883,0.092069864,0.09558858,0.10296037
10580,Albany-Schenectady-Troy, NY,Parental nativity,One immigrant and one native-born parent,0.045476459,0.311681926,0,0.047134813,0.04495148,0.041802794,0.047396306
10580,Albany-Schenectady-Troy, NY,Parental nativity,Only native-born parents,0.854093373,0,1,0.833107293,0.862978637,0.862608612,0.84964335
10580,Albany-Schenectady-Troy, NY,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10660,Albert Lea, MN,Parental nativity,Only immigrant parents,0.140885681,0,0,0.260307997,0.057409402,0.15983814,0.127866581
10660,Albert Lea, MN,Parental nativity,One immigrant and one native-born parent,0.036869206,0,0,0.060109258,0.020810902,0.086494684,0.002779722
10660,Albert Lea, MN,Parental nativity,Only native-born parents,0.822245121,0,1,0.679582715,0.921779692,0.753667176,0.869353712
10660,Albert Lea, MN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10700,Albertville, AL,Parental nativity,Only immigrant parents,0.175692216,0,0,0.285661429,0,0.196375549,0.155024678
10700,Albertville, AL,Parental nativity,One immigrant and one native-born parent,0.004861057,0,0,0.005039334,0,0.000813425,0.00890553
10700,Albertville, AL,Parental nativity,Only native-born parents,0.819446743,0,1,0.709299266,0.992151797,0.802811027,0.836069763
10700,Albertville, AL,Parental nativity,At least one immigrant parent,0,0,0,0,0.007848203,0,0
10740,Albuquerque, NM,Parental nativity,Only immigrant parents,0.133286759,0.670163453,0,0.202311188,0.056532197,0.162500069,0.10870064
10740,Albuquerque, NM,Parental nativity,One immigrant and one native-born parent,0.065600172,0.329836518,0,0.0466168,0.088290066,0.061508134,0.069044054
10740,Albuquerque, NM,Parental nativity,Only native-born parents,0.801113069,0,1,0.75107199,0.85517776,0.775991797,0.822255313
10740,Albuquerque, NM,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10780,Alexandria, LA,Parental nativity,Only immigrant parents,0.022988278,0,0,0.024389423,0.022326544,0.019930959,0.024764661
10780,Alexandria, LA,Parental nativity,One immigrant and one native-born parent,0.029405475,0,0,0.02050361,0.03910403,0.03811641,0.024344238
10780,Alexandria, LA,Parental nativity,Only native-born parents,0.947606266,0,1,0.955106974,0.938569427,0.941952646,0.950891078
10780,Alexandria, LA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10820,Alexandria, MN,Parental nativity,Only immigrant parents,0.004787505,0,0,0.010661006,0.00111717,0,0.001140118
10820,Alexandria, MN,Parental nativity,One immigrant and one native-born parent,0.041495476,0,0,0.053687818,0.035378139,0,0.044215206
10820,Alexandria, MN,Parental nativity,Only native-born parents,0.953716993,0,1,0.935651183,0.963504672,0.952473998,0.95464468
10820,Alexandria, MN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0.047526002,0
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,Only immigrant parents,0.08216507,0.598553717,0,0.093216665,0.077425741,0.07285548,0.089264974
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,One immigrant and one native-born parent,0.055107601,0.401446253,0,0.03756192,0.061498027,0.061931852,0.049903121
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,Only native-born parents,0.862727344,0,1,0.869221389,0.861076236,0.865212679,0.860831916
10900,Allentown-Bethlehem-Easton, PA-NJ,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10940,Alma, MI,Parental nativity,Only immigrant parents,0.016066983,0,0,0.015418503,0,0,0
10940,Alma, MI,Parental nativity,One immigrant and one native-born parent,0.005204797,0,0,0,0,0,0
10940,Alma, MI,Parental nativity,Only native-born parents,0.978728235,0,1,0.98458147,0.969681382,0.977717161,0.979729712
10940,Alma, MI,Parental nativity,At least one immigrant parent,0,0,0,0,0.030318618,0.022282839,0.020270288
10980,Alpena, MI,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
10980,Alpena, MI,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
10980,Alpena, MI,Parental nativity,Only native-born parents,0.98506248,0,1,0.983230829,0.986010075,0.98736465,0.983168304
10980,Alpena, MI,Parental nativity,At least one immigrant parent,0.01493752,0,0,0.016769171,0.013989925,0.01263535,0.016831696
11020,Altoona, PA,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
11020,Altoona, PA,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
11020,Altoona, PA,Parental nativity,Only native-born parents,0.989134192,0,1,0.989599109,0.988232315,0.992161512,0.986871421
11020,Altoona, PA,Parental nativity,At least one immigrant parent,0.010865808,0,0,0.010400891,0.011767685,0.007838488,0.013128579
11100,Amarillo, TX,Parental nativity,Only immigrant parents,0.14748767,0.770736456,0,0.215287685,0.081735261,0.14589341,0.148713008
11100,Amarillo, TX,Parental nativity,One immigrant and one native-born parent,0.043871734,0.229263529,0,0.047454089,0.041380666,0.047455151,0.041117568
