areaFIPS,areaname,areaname2,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
10100,Aberdeen, SD,Enrollment,Not enrolled,0.479986668,0,0.477602422,0.43966502,0.503154159,1,0
10100,Aberdeen, SD,Enrollment,Enrolled in preschool,0.383794665,0,0.388423771,0.411641449,0.367970705,0,0.738047719
10100,Aberdeen, SD,Enrollment,Enrolled in kindergarten or above,0.136218667,0,0.133973837,0.148693562,0.128875136,0,0.261952281
10100,Aberdeen, SD,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10140,Aberdeen, WA,Enrollment,Not enrolled,0.432826459,0,0.403218359,0.463438153,0.375993311,0,0
10140,Aberdeen, WA,Enrollment,Enrolled in preschool,0.410340846,0,0.432276517,0.390256703,0.446189344,0,0.723483741
10140,Aberdeen, WA,Enrollment,Enrolled in kindergarten or above,0.156832695,0,0.164505124,0.146305144,0.177817345,0,0.276516259
10140,Aberdeen, WA,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10180,Abilene, TX,Enrollment,Not enrolled,0.448698878,0,0.449690282,0.449913859,0.437874645,1,0
10180,Abilene, TX,Enrollment,Enrolled in preschool,0.345176369,0,0.349381357,0.33363381,0.369261205,0,0.626112223
10180,Abilene, TX,Enrollment,Enrolled in kindergarten or above,0.206124783,0,0.20092833,0.21645236,0.19286418,0,0.373887777
10180,Abilene, TX,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10220,Ada, OK,Enrollment,Not enrolled,0.358195186,0,0.365297824,0.377422601,0.346657395,1,0
10220,Ada, OK,Enrollment,Enrolled in preschool,0.430892408,0,0.414880395,0.456131905,0.382694155,0,0.671376109
10220,Ada, OK,Enrollment,Enrolled in kindergarten or above,0.210912406,0,0.219821811,0.166445494,0.270648479,0,0.328623891
10220,Ada, OK,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10300,Adrian, MI,Enrollment,Not enrolled,0.493013173,0,0.50080806,0.511610746,0.423133224,1,0
10300,Adrian, MI,Enrollment,Enrolled in preschool,0.318244427,0,0.306666672,0.299668252,0.375305027,0,0.627717376
10300,Adrian, MI,Enrollment,Enrolled in kindergarten or above,0.188742399,0,0.192525268,0.188721001,0.201561749,0,0.372282624
10300,Adrian, MI,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10420,Akron, OH,Enrollment,Not enrolled,0.398928642,0,0.406944036,0.438473314,0.361690253,1,0
10420,Akron, OH,Enrollment,Enrolled in preschool,0.447005779,0,0.444826126,0.395481288,0.495575935,0,0.743681669
10420,Akron, OH,Enrollment,Enrolled in kindergarten or above,0.154065609,0,0.148229837,0.166045412,0.142733827,0,0.256318331
10420,Akron, OH,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10460,Alamogordo, NM,Enrollment,Not enrolled,0.413120627,0,0.451753736,0.457922488,0.34080857,1,0
10460,Alamogordo, NM,Enrollment,Enrolled in preschool,0.354656488,0,0.364064306,0.322897375,0.405321687,0,0.604308963
10460,Alamogordo, NM,Enrollment,Enrolled in kindergarten or above,0.232222915,0,0.184181929,0.219180107,0.253869742,0,0.395691037
10460,Alamogordo, NM,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10500,Albany, GA,Enrollment,Not enrolled,0.279819667,0,0.281074673,0.252804846,0.312025845,1,0
10500,Albany, GA,Enrollment,Enrolled in preschool,0.512936592,0,0.501901507,0.536184907,0.486516416,0,0.712233603
10500,Albany, GA,Enrollment,Enrolled in kindergarten or above,0.207243741,0,0.217023849,0.211010218,0.201457739,0,0.287766397
10500,Albany, GA,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10540,Albany, OR,Enrollment,Not enrolled,0.512949049,0,0.514800727,0.618191898,0.409236133,1,0
10540,Albany, OR,Enrollment,Enrolled in preschool,0.302422732,0,0.297833622,0.212330654,0.398489684,0,0.620926261
10540,Albany, OR,Enrollment,Enrolled in kindergarten or above,0.184628248,0,0.187365651,0.169477463,0.192274183,0,0.379073739
10540,Albany, OR,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Enrollment,Not enrolled,0.345122486,0.323196322,0.346649349,0.400253028,0.318523884,1,0
10580,Albany-Schenectady-Troy, NY,Enrollment,Enrolled in preschool,0.433971435,0.42217648,0.43926695,0.380646169,0.464823991,0,0.662675738
10580,Albany-Schenectady-Troy, NY,Enrollment,Enrolled in kindergarten or above,0.220906079,0.254627228,0.214083686,0.219100818,0.216652125,0,0.337324262
10580,Albany-Schenectady-Troy, NY,Enrollment,Enrolled in preschool or above,0,0,0,0,0,0,0
10660,Albert Lea, MN,Enrollment,Not enrolled,0.406403929,0,0.373246491,0.454861104,0.374152094,1,0
