areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
30,Montana,Number of parents present,One parent,0.22884053,0,0.234498188,0.34150213,0.107307442,0.191492796,0.262249231
30,Montana,Number of parents present,Two parents,0.77115947,0,0.765501797,0.65849787,0.892692566,0.808507204,0.737750769
31,Nebraska,Number of parents present,One parent,0.231777281,0.196674019,0.233479902,0.37459597,0.111786179,0.26296103,0.208975971
31,Nebraska,Number of parents present,Two parents,0.768222749,0.803325951,0.766520083,0.625404,0.888213813,0.73703897,0.791024029
32,Nevada,Number of parents present,One parent,0.283971518,0.167000771,0.344005406,0.375673115,0.17692101,0.292488724,0.274709255
32,Nevada,Number of parents present,Two parents,0.716028452,0.832999229,0.655994594,0.624326885,0.82307899,0.707511246,0.725290775
33,New Hampshire,Number of parents present,One parent,0.221474767,0.216869876,0.222470105,0.439483643,0.122503102,0.271119595,0.192186445
33,New Hampshire,Number of parents present,Two parents,0.778525233,0.783130109,0.777529895,0.560516357,0.877496898,0.728880405,0.807813585
34,New Jersey,Number of parents present,One parent,0.234789908,0.154912382,0.27684015,0.434389025,0.125026464,0.22977452,0.236634687
34,New Jersey,Number of parents present,Two parents,0.765210092,0.845087647,0.72315985,0.565611005,0.874973536,0.770225465,0.763365328
35,New Mexico,Number of parents present,One parent,0.309948832,0.176597536,0.340380967,0.400543779,0.178786457,0.303713202,0.315199345
35,New Mexico,Number of parents present,Two parents,0.690051138,0.823402464,0.659619033,0.599456191,0.821213543,0.696286798,0.684800684
36,New York,Number of parents present,One parent,0.292569399,0.221500367,0.327999711,0.439181387,0.169337288,0.323248476,0.278706312
36,New York,Number of parents present,Two parents,0.707430601,0.778499603,0.672000289,0.560818613,0.830662727,0.676751554,0.721293688
37,North Carolina,Number of parents present,One parent,0.321383268,0.183073625,0.353036374,0.459032744,0.150220215,0.351795197,0.297867566
37,North Carolina,Number of parents present,Two parents,0.678616703,0.81692636,0.646963596,0.540967286,0.849779785,0.648204803,0.702132463
38,North Dakota,Number of parents present,One parent,0.202097803,0,0.200666025,0.383900166,0.118257992,0.192620292,0.211121008
38,North Dakota,Number of parents present,Two parents,0.797902167,0,0.79933399,0.616099834,0.881742001,0.807379723,0.788878977
39,Ohio,Number of parents present,One parent,0.307507277,0.153108716,0.320177346,0.478129506,0.131945044,0.320340663,0.298146337
